Cell#, multipolar division1, multipolar division2, multipolar division3,mitosis1,division1,cytokinesis failure 1,mitosis2,division2,cytokinesis failure2,mitosis3,division3,cytokinesis failure3,slippage1,slippage2,slippage3,apoptosis,Of of View,END,Remarks
Cell#1,0,0,0,26,33,0,0,0,0,0,0,0,0,0,0,0,0,74,Remarks: 
Cell#2,0,0,0,34,38,0,0,0,0,0,0,0,0,0,0,0,0,74,Remarks: 
Cell#3,0,0,0,34,39,0,0,0,0,0,0,0,0,0,0,0,0,74,Remarks: 
Cell#4,0,0,0,31,33,0,0,0,0,0,0,0,0,0,0,0,0,74,Remarks: 
Cell#5,0,0,0,33,38,0,0,0,0,0,0,0,0,0,0,0,0,74,Remarks: 
Cell#6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,Remarks: 
Cell#7,0,0,0,51,56,0,0,0,0,0,0,0,0,0,0,0,0,74,Remarks: 
Cell#8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,Remarks: 
Cell#9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,Remarks: 
Cell#10,0,0,0,51,54,0,0,0,0,0,0,0,0,0,0,0,0,74,Remarks: 
Cell#11,0,0,0,10,14,0,0,0,0,0,0,0,0,0,0,0,0,74,Remarks: 
Cell#12,0,0,0,62,66,0,0,0,0,0,0,0,0,0,0,0,0,74,Remarks: 
Cell#13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,Remarks: 
Cell#14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,Remarks: 
Cell#15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,Remarks: 
Cell#16,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,74,Remarks: 
Cell#17,0,0,0,14,17,0,0,0,0,0,0,0,0,0,0,0,0,74,Remarks: 
